StudentID,gender,height,religion,major,salary
661280,Female,181,Catholic,Environmental Sciences,39403
539383,Female,169,Other,Economics and Finance,53800
288632,Male,181,Other,Mathematics and Statistics,44729
866896,Male,178,Catholic,Environmental Sciences,44423
957099,Male,189,Other,Mathematics and Statistics,43324
393717,Male,183,Other,Political Science,18571
728029,Female,169,Other,Political Science,27893
434840,Female,162,Other,Social Sciences,31219
147318,Male,181,Protestant,Economics and Finance,65776
791265,Female,157,Protestant,Economics and Finance,47683
546863,Female,176,Protestant,Biology,30909
950895,Male,187,Other,Political Science,52103
343331,Male,171,Protestant,Economics and Finance,64708
198362,Male,172,Other,Biology,44483
654710,Male,184,Other,Economics and Finance,51367
543466,Male,174,Protestant,Economics and Finance,51568
766664,Female,177,Catholic,Environmental Sciences,34212
678841,Male,170,Catholic,Political Science,33260
593016,Male,185,Catholic,Environmental Sciences,42665
363256,Female,159,Orthodox,Political Science,28888
607721,Male,182,Catholic,Mathematics and Statistics,39612
731560,Male,175,Other,Economics and Finance,50206
415647,Male,187,Catholic,Economics and Finance,61024
415149,Female,173,Other,Biology,39301
572624,Female,177,Protestant,Economics and Finance,33300
362835,Male,184,Catholic,Environmental Sciences,34601
287535,Female,151,Protestant,Biology,43022
518145,Male,184,Protestant,Mathematics and Statistics,40343
139052,Male,162,Protestant,Social Sciences,34318
422951,Female,171,Protestant,Political Science,32155
868569,Male,179,Catholic,Economics and Finance,50076
613201,Male,171,Orthodox,Economics and Finance,49556
449891,Male,179,Other,Political Science,26973
253803,Male,170,Other,Environmental Sciences,38513
896301,Male,189,Muslim,Biology,56016
527540,Male,168,Catholic,Economics and Finance,43516
696262,Male,197,Catholic,Political Science,39443
132623,Female,159,Orthodox,Environmental Sciences,29022
957161,Male,182,Other,Biology,39958
118502,Female,157,Other,Political Science,36911
587257,Male,182,Catholic,Mathematics and Statistics,50087
810585,Male,181,Muslim,Mathematics and Statistics,56301
257766,Male,191,Other,Economics and Finance,53418
529799,Female,168,Catholic,Mathematics and Statistics,41445
585253,Female,145,Catholic,Mathematics and Statistics,31908
299694,Male,192,Other,Mathematics and Statistics,56209
177513,Male,174,Protestant,Environmental Sciences,41670
120107,Male,182,Other,Social Sciences,38816
733312,Male,181,Other,Social Sciences,44517
672001,Female,156,Other,Biology,45042
870854,Female,168,Catholic,Biology,41728
456353,Female,173,Catholic,Economics and Finance,53566
952558,Male,178,Protestant,Biology,50164
415197,Male,172,Other,Economics and Finance,41556
565624,Male,183,Other,Environmental Sciences,30276
564694,Female,163,Muslim,Social Sciences,23717
538530,Male,180,Catholic,Social Sciences,39758
944417,Female,153,Catholic,Environmental Sciences,26731
480022,Female,164,Catholic,Mathematics and Statistics,40958
475771,Male,162,Other,Economics and Finance,52582
605051,Female,168,Other,Biology,47211
350522,Male,176,Catholic,Biology,43496
215559,Male,181,Protestant,Environmental Sciences,41394
403855,Female,156,Other,Environmental Sciences,27506
775592,Male,195,Other,Political Science,34117
921795,Male,172,Other,Political Science,31790
117917,Male,183,Catholic,Biology,54078
362764,Male,167,Protestant,Economics and Finance,52230
566262,Female,184,Orthodox,Economics and Finance,44369
527029,Female,175,Catholic,Economics and Finance,43001
460855,Female,159,Other,Environmental Sciences,29401
508696,Male,176,Protestant,Environmental Sciences,38409
411195,Female,163,Catholic,Social Sciences,26235
182706,Male,180,Protestant,Environmental Sciences,40913
287354,Male,190,Catholic,Environmental Sciences,37554
738972,Male,170,Catholic,Mathematics and Statistics,50361
146915,Male,173,Muslim,Political Science,36489
706758,Female,161,Protestant,Political Science,32055
614482,Female,151,Catholic,Political Science,33607
976300,Male,180,Other,Political Science,29757
963345,Male,179,Other,Economics and Finance,47444
360012,Male,182,Catholic,Environmental Sciences,39359
812921,Female,157,Catholic,Environmental Sciences,32030
947765,Male,179,Other,Economics and Finance,55980
141477,Male,186,Protestant,Political Science,38433
541567,Male,179,Orthodox,Mathematics and Statistics,39135
925809,Male,159,Catholic,Economics and Finance,39298
589796,Female,158,Muslim,Environmental Sciences,37935
113718,Male,185,Other,Political Science,45158
443735,Male,183,Catholic,Environmental Sciences,47263
477621,Male,166,Protestant,Social Sciences,31908
323485,Male,184,Protestant,Political Science,42573
394945,Male,195,Orthodox,Biology,50949
959977,Male,177,Orthodox,Mathematics and Statistics,75597
367114,Male,172,Protestant,Mathematics and Statistics,41624
499524,Male,166,Other,Environmental Sciences,34964
124490,Male,179,Other,Biology,51107
938711,Male,180,Protestant,Mathematics and Statistics,54441
909911,Male,180,Other,Mathematics and Statistics,52112
541717,Male,192,Other,Environmental Sciences,38993
606478,Male,173,Other,Economics and Finance,48748
122485,Female,171,Protestant,Political Science,33648
512012,Female,164,Orthodox,Biology,44829
665548,Female,179,Other,Political Science,26265
541466,Female,167,Catholic,Biology,38156
221190,Female,162,Orthodox,Environmental Sciences,35353
844385,Male,171,Orthodox,Biology,58512
299940,Male,170,Catholic,Environmental Sciences,43925
903936,Male,166,Other,Economics and Finance,41879
494589,Male,174,Catholic,Mathematics and Statistics,48103
266701,Male,173,Muslim,Economics and Finance,39053
676841,Male,174,Other,Environmental Sciences,42546
728141,Female,152,Protestant,Biology,39369
424253,Male,193,Muslim,Economics and Finance,48785
661366,Male,174,Catholic,Political Science,36280
693691,Male,171,Catholic,Mathematics and Statistics,51752
975648,Male,187,Orthodox,Environmental Sciences,29668
921385,Male,171,Catholic,Political Science,33369
686274,Male,179,Protestant,Environmental Sciences,32395
640526,Female,171,Catholic,Political Science,28823
589397,Female,165,Protestant,Mathematics and Statistics,40961
487096,Female,173,Other,Political Science,19637
756961,Male,171,Muslim,Environmental Sciences,36439
950015,Male,185,Other,Biology,60848
618749,Female,168,Orthodox,Economics and Finance,48651
249763,Female,159,Protestant,Environmental Sciences,27017
928145,Female,161,Protestant,Environmental Sciences,35294
111998,Male,174,Catholic,Environmental Sciences,37364
898710,Female,156,Catholic,Political Science,29217
253489,Male,174,Catholic,Political Science,63199
294686,Male,192,Protestant,Environmental Sciences,40285
919276,Male,171,Catholic,Biology,41225
744620,Male,194,Orthodox,Economics and Finance,40318
436261,Male,173,Other,Mathematics and Statistics,64012
882620,Male,180,Protestant,Economics and Finance,56732
523108,Male,178,Protestant,Environmental Sciences,37966
832761,Female,170,Protestant,Biology,41505
371542,Male,172,Other,Economics and Finance,58381
146484,Male,169,Catholic,Mathematics and Statistics,58072
586084,Male,186,Muslim,Mathematics and Statistics,50913
377877,Male,183,Other,Biology,45583
886960,Female,167,Muslim,Economics and Finance,46080
653023,Female,186,Catholic,Social Sciences,33975
461824,Female,162,Catholic,Political Science,34299
553233,Female,154,Other,Social Sciences,22916
318944,Female,177,Catholic,Biology,45007
908728,Male,179,Catholic,Mathematics and Statistics,45141
848785,Female,155,Catholic,Political Science,42236
127329,Male,177,Other,Economics and Finance,64052
812904,Female,171,Other,Political Science,28556
361363,Male,182,Other,Mathematics and Statistics,44504
517485,Female,171,Catholic,Mathematics and Statistics,26489
635788,Male,167,Other,Political Science,33318
280376,Male,177,Other,Mathematics and Statistics,68980
777815,Male,168,Other,Biology,64486
343541,Female,169,Catholic,Economics and Finance,40474
517410,Male,167,Catholic,Biology,60492
200854,Female,167,Protestant,Environmental Sciences,30741
824507,Male,180,Protestant,Social Sciences,36227
944466,Female,145,Other,Biology,38405
700769,Male,182,Other,Social Sciences,31949
430239,Male,190,Protestant,Social Sciences,37584
954089,Female,162,Muslim,Political Science,46945
176318,Male,176,Catholic,Economics and Finance,54416
905586,Male,160,Orthodox,Economics and Finance,47418
495511,Female,164,Catholic,Economics and Finance,45993
855401,Female,165,Protestant,Economics and Finance,43553
521046,Female,157,Protestant,Social Sciences,33642
648340,Male,171,Other,Mathematics and Statistics,43757
145718,Male,180,Catholic,Biology,48574
728977,Male,182,Protestant,Biology,56854
165901,Female,171,Other,Environmental Sciences,30484
912116,Male,190,Protestant,Mathematics and Statistics,37924
367512,Male,187,Other,Environmental Sciences,43059
473274,Male,182,Other,Environmental Sciences,38010
250523,Female,157,Other,Economics and Finance,40380
743476,Male,201,Other,Political Science,38824
578326,Male,187,Catholic,Environmental Sciences,36631
517832,Male,176,Catholic,Economics and Finance,56870
473749,Female,145,Protestant,Political Science,47791
669986,Male,167,Catholic,Political Science,40540
207149,Male,191,Other,Biology,55657
841304,Female,165,Protestant,Political Science,42222
475160,Male,190,Catholic,Mathematics and Statistics,47442
122162,Female,168,Other,Mathematics and Statistics,36055
446234,Male,178,Orthodox,Mathematics and Statistics,30414
407275,Female,157,Protestant,Biology,39041
969621,Female,166,Orthodox,Social Sciences,26254
167174,Female,162,Catholic,Mathematics and Statistics,45512
760133,Male,173,Catholic,Biology,68577
877191,Female,168,Catholic,Environmental Sciences,34398
355955,Male,176,Other,Political Science,49104
165181,Male,176,Protestant,Mathematics and Statistics,35259
387041,Female,160,Catholic,Environmental Sciences,29539
