Spikes_Times,Trial_index,UnitNum,Spike_Time_in_Trial,LogicStim,TrialOutcome,StimType,layer,Unit Type,Whisker
86.28355,17,44,0.27511499999999955,7,2,VTN,L2_3,RS,B2
90.966664,18,44,0.28233799999999576,6,2,VTN,L2_3,RS,B3
100.28346,20,44,0.24235099999999932,15,2,RHR,L2_3,RS,B3
105.398806,21,44,0.6825259999999957,9,2,RHR,L2_3,RS,D3
114.502402,23,44,0.4253790000000066,0,2,VTN,L2_3,RS,D3
114.605435,23,44,0.528412000000003,0,2,VTN,L2_3,RS,D3
114.668068,23,44,0.5910450000000083,0,2,VTN,L2_3,RS,D3
119.036817,24,44,0.27630200000000116,6,2,VTN,L2_3,RS,B3
119.10305,24,44,0.34253499999999804,6,2,VTN,L2_3,RS,B3
119.400282,24,44,0.6397670000000062,6,2,VTN,L2_3,RS,B3
123.868797,25,44,0.4309910000000059,0,2,VTN,L2_3,RS,D3
128.327813,26,44,0.2106759999999781,13,2,RHR,L2_3,RS,C2
128.419879,26,44,0.30274199999999496,13,2,RHR,L2_3,RS,C2
128.474545,26,44,0.3574079999999924,13,2,RHR,L2_3,RS,C2
128.637211,26,44,0.5200739999999939,13,2,RHR,L2_3,RS,C2
142.732654,29,44,0.5651220000000023,3,2,VTN,L2_3,RS,C3
143.128352,29,44,0.9608200000000124,3,2,VTN,L2_3,RS,C3
147.276402,30,44,0.43129899999999566,0,2,VTN,L2_3,RS,D3
147.284602,30,44,0.4394990000000121,0,2,VTN,L2_3,RS,D3
151.795817,31,44,0.26746299999999223,4,2,VTN,L2_3,RS,C2
152.070049,31,44,0.5416950000000043,4,2,VTN,L2_3,RS,C2
165.78126,34,44,0.21583100000000854,4,2,VTN,L2_3,RS,C2
165.85776,34,44,0.29233100000001855,4,2,VTN,L2_3,RS,C2
165.86936,34,44,0.3039310000000057,4,2,VTN,L2_3,RS,C2
166.180592,34,44,0.6151629999999955,4,2,VTN,L2_3,RS,C2
179.869203,37,44,0.2598999999999876,4,2,VTN,L2_3,RS,C2
179.905837,37,44,0.29653399999997987,4,2,VTN,L2_3,RS,C2
180.114969,37,44,0.5056659999999908,4,2,VTN,L2_3,RS,C2
180.570234,37,44,0.960930999999988,4,2,VTN,L2_3,RS,C2
191.030658,39,44,2.063772,7,2,VTN,L2_3,RS,B2
194.120879,40,44,0.4766620000000046,8,2,VTN,L2_3,RS,B1
213.511333,44,44,1.1513900000000206,16,2,RHR,L2_3,RS,B2
217.692383,45,44,0.6584689999999966,11,2,RHR,L2_3,RS,D1
218.064315,45,44,1.0304009999999835,11,2,RHR,L2_3,RS,D1
241.940851,50,44,1.4818400000000054,5,2,VTN,L2_3,RS,C1
255.179531,53,44,0.6796060000000068,13,2,RHR,L2_3,RS,C2
255.34383,53,44,0.8439050000000066,13,2,RHR,L2_3,RS,C2
259.531047,54,44,0.37135000000000673,10,2,RHR,L2_3,RS,D2
264.501227,55,44,0.6614789999999857,4,2,VTN,L2_3,RS,C2
268.813409,56,44,0.28392900000000054,4,2,VTN,L2_3,RS,C2
268.939575,56,44,0.41009500000001253,4,2,VTN,L2_3,RS,C2
287.620299,60,44,0.3679740000000038,17,2,RHR,L2_3,RS,B1
287.802132,60,44,0.5498069999999871,17,2,RHR,L2_3,RS,B1
288.36893,60,44,1.1166049999999927,17,2,RHR,L2_3,RS,B1
288.721495,60,44,1.4691700000000196,17,2,RHR,L2_3,RS,B1
294.212106,61,44,2.2814089999999965,1,2,VTN,L2_3,RS,D2
302.613372,63,44,1.3232930000000351,16,2,RHR,L2_3,RS,B2
302.628238,63,44,1.3381590000000188,16,2,RHR,L2_3,RS,B2
303.10887,63,44,1.818791000000033,16,2,RHR,L2_3,RS,B2
305.130362,62,44,8.51985400000001,9,2,RHR,L2_3,RS,D3
305.248728,63,44,3.9586490000000367,16,2,RHR,L2_3,RS,B2
306.846555,64,44,0.8815040000000067,10,2,RHR,L2_3,RS,D2
306.853488,64,44,0.8884370000000104,10,2,RHR,L2_3,RS,D2
307.387786,64,44,1.4227349999999888,10,2,RHR,L2_3,RS,D2
307.430186,64,44,1.4651349999999752,10,2,RHR,L2_3,RS,D2
311.918801,65,44,1.2734189999999899,0,2,VTN,L2_3,RS,D3
320.196134,67,44,0.1972889999999552,2,2,VTN,L2_3,RS,D1
320.519566,67,44,0.5207209999999804,2,2,VTN,L2_3,RS,D1
326.158243,68,44,1.4770260000000235,14,2,RHR,L2_3,RS,C1
326.482642,68,44,1.8014249999999947,14,2,RHR,L2_3,RS,C1
326.490175,68,44,1.8089580000000183,14,2,RHR,L2_3,RS,C1
330.663391,69,44,1.3030430000000024,15,2,RHR,L2_3,RS,B3
331.04709,69,44,1.686742000000038,15,2,RHR,L2_3,RS,B3
334.952141,70,44,0.9138619999999946,16,2,RHR,L2_3,RS,B2
340.205019,71,44,1.4871279999999842,15,2,RHR,L2_3,RS,B3
340.829917,71,44,2.1120260000000144,15,2,RHR,L2_3,RS,B3
343.747505,72,44,0.34936299999998255,13,2,RHR,L2_3,RS,C2
343.952737,72,44,0.5545950000000062,13,2,RHR,L2_3,RS,C2
344.267169,72,44,0.8690270000000169,13,2,RHR,L2_3,RS,C2
344.360569,72,44,0.962426999999991,13,2,RHR,L2_3,RS,C2
344.365636,72,44,0.9674939999999879,13,2,RHR,L2_3,RS,C2
344.380636,72,44,0.9824939999999742,13,2,RHR,L2_3,RS,C2
348.751918,73,44,0.6661639999999807,7,2,VTN,L2_3,RS,B2
354.643427,74,44,1.8782619999999497,2,2,VTN,L2_3,RS,D1
354.649194,74,44,1.8840289999999982,2,2,VTN,L2_3,RS,D1
381.184853,80,44,0.3297799999999711,7,2,VTN,L2_3,RS,B2
399.791944,84,44,0.2252250000000231,3,2,VTN,L2_3,RS,C3
400.443908,84,44,0.877189000000044,3,2,VTN,L2_3,RS,C3
400.546941,84,44,0.9802220000000261,3,2,VTN,L2_3,RS,C3
400.763907,84,44,1.1971880000000397,3,2,VTN,L2_3,RS,C3
400.985673,84,44,1.418954000000042,3,2,VTN,L2_3,RS,C3
415.615147,87,44,2.0002339999999776,14,2,RHR,L2_3,RS,C1
415.932045,87,44,2.317132000000015,14,2,RHR,L2_3,RS,C1
